Date,zscore,Spread,Long_Entry,Short_Entry,Long_Exit,Short_Exit,Returns,Profit
2000-01-03,-2.4338372473657732,12.785957336425781,1,0,0,0,0.0,0.0
2000-01-04,-2.337526722452165,14.669326782226562,1,0,0,0,0.0,0.0
2000-01-05,-2.2311742031825075,16.749069213867188,1,0,0,0,2.079742431640625,2.079742431640625
2000-01-06,-2.047639287492517,20.33812713623047,1,0,0,0,3.5890579223632812,5.668800354003906
2000-01-07,-2.2164020662578756,17.037940979003906,1,0,0,0,-3.3001861572265625,2.3686141967773438
2000-01-10,-2.308975372789394,15.227653503417969,1,0,0,0,-1.8102874755859375,0.5583267211914062
2000-01-11,-2.170313997829415,17.93920135498047,1,0,0,0,2.7115478515625,3.2698745727539062
2000-01-12,-2.1331220619354987,18.66649627685547,1,0,0,0,0.727294921875,3.9971694946289062
2000-01-13,-2.295593329725852,15.489341735839844,1,0,0,0,-3.177154541015625,0.8200149536132812
2000-01-14,-2.32348299002898,14.943954467773438,1,0,0,0,-0.5453872680664062,0.274627685546875
2000-01-18,-2.3833362259025686,13.773513793945312,1,0,0,0,-1.170440673828125,-0.89581298828125
2000-01-19,-2.436935795062877,12.725364685058594,1,0,0,0,-1.0481491088867188,-1.9439620971679688
2000-01-20,-2.470090489510101,12.077018737792969,1,0,0,0,-0.648345947265625,-2.5923080444335938
2000-01-21,-2.532166002855699,10.863121032714844,1,0,0,0,-1.213897705078125,-3.8062057495117188
2000-01-24,-2.4651777581323713,12.173088073730469,1,0,0,0,1.309967041015625,-2.4962387084960938
2000-01-25,-2.4726990125399215,12.026008605957031,1,0,0,0,-0.1470794677734375,-2.6433181762695312
2000-01-26,-2.346175891917928,14.500190734863281,1,0,0,0,2.47418212890625,-0.16913604736328125
2000-01-27,-2.4219260585981366,13.018882751464844,1,0,0,0,-1.4813079833984375,-1.6504440307617188
2000-01-28,-2.3669207896956146,14.094520568847656,1,0,0,0,1.0756378173828125,-0.5748062133789062
2000-01-31,-2.406389233498445,13.322708129882812,1,0,0,0,-0.7718124389648438,-1.34661865234375
2000-02-01,-2.4660813386494316,12.155418395996094,1,0,0,0,-1.1672897338867188,-2.5139083862304688
2000-02-02,-2.4960399486425295,11.569572448730469,1,0,0,0,-0.585845947265625,-3.0997543334960938
2000-02-03,-2.584201862727416,9.845550537109375,1,0,0,0,-1.7240219116210938,-4.8237762451171875
2000-02-04,-2.6323588808458465,8.903831481933594,1,0,0,0,-0.9417190551757812,-5.765495300292969
2000-02-07,-2.6981606884567477,7.6170654296875,1,0,0,0,-1.2867660522460938,-7.0522613525390625
2000-02-08,-2.814300436073111,5.3459320068359375,1,0,0,0,-2.2711334228515625,-9.323394775390625
2000-02-09,-2.7559574593452654,6.486839294433594,1,0,0,0,1.1409072875976562,-8.182487487792969
2000-02-10,-2.8884385152332452,3.896148681640625,1,0,0,0,-2.5906906127929688,-10.773178100585938
2000-02-11,-2.8794744971158126,4.071441650390625,1,0,0,0,0.17529296875,-10.597885131835938
2000-02-14,-2.8472858067101434,4.700897216796875,1,0,0,0,0.62945556640625,-9.968429565429688
2000-02-15,-2.8266965775966653,5.103523254394531,1,0,0,0,0.40262603759765625,-9.565803527832031
2000-02-16,-2.874638234555589,4.166015625,1,0,0,0,-0.9375076293945312,-10.503311157226562
2000-02-17,-2.9909687640686897,1.8911514282226562,1,0,0,0,-2.2748641967773438,-12.778175354003906
2000-02-18,-2.9278464862467217,3.125518798828125,1,0,0,0,1.2343673706054688,-11.543807983398438
2000-02-22,-2.952786244870449,2.6378173828125,1,0,0,0,-0.487701416015625,-12.031509399414062
2000-02-23,-3.14019922201967,-1.0270767211914062,1,0,0,0,-3.6648941040039062,-15.696403503417969
2000-02-24,-3.3288243859851714,-4.715675354003906,1,0,0,0,-3.6885986328125,-19.38500213623047
2000-02-25,-3.238459311632652,-2.9485702514648438,1,0,0,0,1.7671051025390625,-17.617897033691406
2000-02-28,-3.143694939391371,-1.0954360961914062,1,0,0,0,1.8531341552734375,-15.764762878417969
2000-02-29,-3.220435299228876,-2.5961074829101562,1,0,0,0,-1.50067138671875,-17.26543426513672
2000-03-01,-3.2256866782269893,-2.6987991333007812,1,0,0,0,-0.102691650390625,-17.368125915527344
2000-03-02,-3.113915016737139,-0.5130844116210938,1,0,0,0,2.1857147216796875,-15.182411193847656
2000-03-03,-3.287163315884466,-3.9009857177734375,1,0,0,0,-3.3879013061523438,-18.5703125
2000-03-06,-3.370566996814748,-5.531959533691406,1,0,0,0,-1.6309738159179688,-20.20128631591797
2000-03-07,-3.385927475457742,-5.83233642578125,1,0,0,0,-0.30037689208984375,-20.501663208007812
2000-03-08,-3.435196802753262,-6.795806884765625,1,0,0,0,-0.963470458984375,-21.465133666992188
2000-03-09,-3.4671073183279018,-7.419822692871094,1,0,0,0,-0.6240158081054688,-22.089149475097656
2000-03-10,-3.4699838723660212,-7.47607421875,1,0,0,0,-0.05625152587890625,-22.145401000976562
2000-03-13,-3.3895386763497584,-5.9029541015625,1,0,0,0,1.5731201171875,-20.572280883789062
2000-03-14,-3.2744277464464724,-3.6519393920898438,1,0,0,0,2.2510147094726562,-18.321266174316406
2000-03-15,-2.973286130314494,2.2369384765625,1,0,0,0,5.888877868652344,-12.432388305664062
2000-03-16,-3.0145738297093154,1.4295501708984375,1,0,0,0,-0.8073883056640625,-13.239776611328125
2000-03-17,-3.0726963733662895,0.2929534912109375,1,0,0,0,-1.1365966796875,-14.376373291015625
2000-03-20,-2.9611517774467893,2.4742279052734375,1,0,0,0,2.1812744140625,-12.195098876953125
